Constituency ID,State ID,State,Parliament Constituency,Constituency Name (short),Const No,Constituency Name (long),Status,Winning Candidate,Winning Party,Winning Party ID,Winner Votes,Winner Vote Share,RunnerUp Candidate,RunnerUp Party,RunnerUp Votes,Margin,Total Votes Polled,Num Candidates,Country
S232,S23,Tripura,TRIPURAEAST(2),Tripura East,2,TRIPURAEAST,Result Declared,KRITI DEVI DEBBARMAN,Bharatiya Janata Party - BJP,369,777447,0.685370853,RAJENDRA REANG,Communist Party of India  (Marxist),290628,486819,1134345,10,India
S1213,S12,Madhya Pradesh,JABALPUR(13),JABALPUR,13,JABALPUR,Result Declared,ASHISH DUBEY,Bharatiya Janata Party - BJP,369,790133,0.682004583,DINESH YADAV,Indian National Congress,303459,486674,1158545,20,India
S0610,S06,Gujarat,RAJKOT(10),Rajkot,10,RAJKOT,Result Declared,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party - BJP,369,857984,0.673699022,DHANANI PARESH,Indian National Congress,373724,484260,1273542,10,India
S125,S12,Madhya Pradesh,SAGAR(5),SAGAR,5,SAGAR,Result Declared,DR. LATA WANKHEDE,Bharatiya Janata Party - BJP,369,787979,0.684872178,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,316757,471222,1150549,14,India
S2519,S25,West Bengal,JOYNAGAR(19),Joynagar,19,JOYNAGAR,Result Declared,PRATIMA MONDAL,All India Trinamool Congress - AITC,140,894312,0.603192568,ASHOK KANDARY,Bharatiya Janata Party,424093,470219,1482631,12,India
S2917,S29,Telangana,KHAMMAM(17),Khammam,17,KHAMMAM,Result Declared,RAMASAHAYAM RAGHURAM REDDY,Indian National Congress - INC,742,766929,0.612914105,NAMA NAGESWARA RAO,Bharat Rashtra Samithi,299082,467847,1251283,36,India
S067,S06,Gujarat,AHMEDABADEAST(7),Ahmedabad East,7,AHMEDABADEAST,Result Declared,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party - BJP,369,770459,0.682825817,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,308704,461755,1128339,19,India
S0615,S06,Gujarat,BHAVNAGAR(15),Bhavnagar,15,BHAVNAGAR,Result Declared,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party - BJP,369,716883,0.684550319,UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,261594,455289,1047232,14,India
S2222,S22,Tamil Nadu,DINDIGUL(22),DINDIGUL,22,DINDIGUL,Result Declared,SACHITHANANTHAM R,Communist Party of India  (Marxist) - CPI(M),547,670149,0.582930374,MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,226328,443821,1149621,16,India
S267,S26,Chhattisgarh,DURG(7),DURG,7,DURG,Result Declared,VIJAY BAGHEL,Bharatiya Janata Party - BJP,369,956497,0.619979945,RAJENDRA SAHU,Indian National Congress,518271,438226,1542787,26,India
S1217,S12,Madhya Pradesh,HOSHANGABAD(17),HOSHANGABAD,17,HOSHANGABAD,Result Declared,DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party - BJP,369,812147,0.64987773,SANJAY SHARMA SANJU BHAIYA,Indian National Congress,380451,431696,1249692,13,India
S1221,S12,Madhya Pradesh,DEWAS(21),DEWAS,21,DEWAS,Result Declared,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party - BJP,369,928941,0.632318066,RAJENDRA RADHAKISHAN MALVIYA,Indian National Congress,503716,425225,1469104,9,India
S127,S12,Madhya Pradesh,DAMOH(7),DAMOH,7,DAMOH,Result Declared,RAHUL SINGH LODHI,Bharatiya Janata Party - BJP,369,709768,0.651794766,TARBAR SINGH LODHI (BANTU BHAIYA),Indian National Congress,303342,406426,1088944,15,India
S126,S12,Madhya Pradesh,TIKAMGARH(6),TIKAMGARH,6,TIKAMGARH,Result Declared,DR. VIRENDRA KUMAR,Bharatiya Janata Party - BJP,369,715050,0.650998279,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,311738,403312,1098390,8,India
S0621,S06,Gujarat,CHHOTAUDAIPUR(21),Chhota Udaipur,21,CHHOTAUDAIPUR,Result Declared,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party - BJP,369,796589,0.628364014,SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,397812,398777,1267719,7,India
S1212,S12,Madhya Pradesh,SHAHDOL(12),SHAHDOL,12,SHAHDOL,Result Declared,SMT. HIMADRI SINGH,Bharatiya Janata Party - BJP,369,711143,0.617304666,PHUNDE LAL SINGH MARKO,Indian National Congress,313803,397340,1152013,11,India
S2236,S22,Tamil Nadu,THOOTHUKKUDI(36),THOOTHUKKUDI,36,THOOTHUKKUDI,Result Declared,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam - DMK,582,540729,0.552595434,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,147991,392738,978526,29,India
S2022,S20,Rajasthan,RAJSAMAND(22),RAJSAMAND,22,RAJSAMAND,Result Declared,MAHIMA KUMARI MEWAR,Bharatiya Janata Party - BJP,369,781203,0.643956542,DR. DAMODAR GURJAR,Indian National Congress,388980,392223,1213130,11,India
S297,S29,Telangana,MALKAJGIRI(7),Malkajgiri,7,MALKAJGIRI,Result Declared,EATALA RAJENDER,Bharatiya Janata Party - BJP,369,991042,0.512472833,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,599567,391475,1933843,23,India
S2436,S24,Uttar Pradesh,RAEBARELI(36),Rae Bareli,36,RAEBARELI,Result Declared,RAHUL GANDHI,Indian National Congress - INC,742,687649,0.661697871,DINESH PRATAP SINGH,Bharatiya Janata Party,297619,390030,1039219,9,India
S2021,S20,Rajasthan,CHITTORGARH(21),CHITTORGARH,21,CHITTORGARH,Result Declared,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party - BJP,369,888202,0.592635246,ANJANA UDAILAL,Indian National Congress,498325,389877,1498733,19,India
S2225,S22,Tamil Nadu,PERAMBALUR(25),PERAMBALUR,25,PERAMBALUR,Result Declared,ARUN NEHRU,Dravida Munnetra Kazhagam - DMK,582,603209,0.534179163,CHANDRAMOHAN N D,All India Anna Dravida Munnetra Kazhagam,214102,389107,1129226,24,India
S0611,S06,Gujarat,PORBANDAR(11),Porbandar,11,PORBANDAR,Result Declared,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party - BJP,369,633118,0.681521717,LALIT VASOYA,Indian National Congress,249758,383360,928977,13,India
S1229,S12,Madhya Pradesh,BETUL(29),BETUL,29,BETUL,Result Declared,DURGADAS (D. D.) UIKEY,Bharatiya Janata Party - BJP,369,848236,0.607610206,RAMU TEKAM,Indian National Congress,468475,379761,1396020,9,India
S275,S27,Jharkhand,KODARMA(5),Kodarma,5,KODARMA,Result Declared,ANNPURNA DEVI,Bharatiya Janata Party - BJP,369,791657,0.57786701,VINOD KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),414643,377014,1369964,16,India
S1222,S12,Madhya Pradesh,UJJAIN(22),UJJAIN,22,UJJAIN,Result Declared,ANIL FIROJIYA,Bharatiya Janata Party - BJP,369,836104,0.629321531,MAHESH PARMAR,Indian National Congress,460244,375860,1328580,10,India
S151,S15,Meghalaya,SHILLONG(1),Shillong,1,SHILLONG,Result Declared,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party - VOTPP,3388,571078,0.55021866,VINCENT H. PALA,Indian National Congress,199168,371910,1037911,7,India
S2025,S20,Rajasthan,JHALAWAR-BARAN(25),JHALAWAR-BARAN,25,JHALAWAR-BARAN,Result Declared,DUSHYANT SINGH,Bharatiya Janata Party - BJP,369,865376,0.60884903,URMILA JAIN “BHAYA”,Indian National Congress,494387,370989,1421331,8,India
S114,S11,Kerala,WAYANAD(4),Wayanad,4,WAYANAD,Result Declared,RAHUL GANDHI,Indian National Congress - INC,742,647445,0.596914405,ANNIE RAJA,Communist Party of India,283023,364422,1084653,10,India
S0311,S03,Assam,SONITPUR(11),Sonitpur,11,SONITPUR,Result Declared,RANJIT DUTTA,Bharatiya Janata Party - BJP,369,775788,0.6021011,PREMLAL GANJU,Indian National Congress,414380,361408,1288468,9,India
S0617,S06,Gujarat,KHEDA(17),Kheda,17,KHEDA,Result Declared,DEVUSINH CHAUHAN,Bharatiya Janata Party - BJP,369,744435,0.633104789,KALUSINH DABHI,Indian National Congress,386677,357758,1175848,13,India
S1326,S13,Maharashtra,MUMBAINORTH(26),Mumbai North,26,MUMBAINORTH,Result Declared,PIYUSH GOYAL,Bharatiya Janata Party - BJP,369,680146,0.656833025,BHUSHAN PATIL,Indian National Congress,322538,357608,1035493,20,India
S2023,S20,Rajasthan,BHILWARA(23),BHILWARA,23,BHILWARA,Result Declared,DAMODAR AGARWAL,Bharatiya Janata Party - BJP,369,807640,0.619168273,C P JOSHI,Indian National Congress,453034,354606,1304395,11,India
S2916,S29,Telangana,MAHABUBABAD(16),Mahabubabad,16,MAHABUBABAD,Result Declared,BALRAM NAIK PORIKA,Indian National Congress - INC,742,612774,0.552653082,KAVITHA MALOTH,Bharat Rashtra Samithi,263609,349165,1108786,24,India
S077,S07,Haryana,ROHTAK(7),ROHTAK,7,ROHTAK,Result Declared,DEEPENDER SINGH HOODA,Indian National Congress - INC,742,783578,0.627642685,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,438280,345298,1248446,27,India
S0113,S01,Andhra Pradesh,GUNTUR(13),Guntur,13,GUNTUR,Result Declared,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam - TDP,1745,864948,0.606823066,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,520253,344695,1425371,31,India
S017,S01,Andhra Pradesh,AMALAPURAM(SC)(7),Amalapuram (SC),7,AMALAPURAM(SC),Result Declared,G M HARISH (BALAYOGI),Telugu Desam - TDP,1745,796981,0.612541177,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,454785,342196,1301106,16,India
S222,S22,Tamil Nadu,CHENNAINORTH(2),CHENNAI NORTH,2,CHENNAINORTH,Result Declared,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam - DMK,582,497333,0.551068212,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,158111,339222,902489,36,India
S299,S29,Telangana,HYDERABAD(9),Hyderabad,9,HYDERABAD,Result Declared,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen - AIMIM,118,661981,0.612761542,MADHAVI LATHA KOMPELLA,Bharatiya Janata Party,323894,338087,1080324,31,India
